split,image_id,true_label,resnet_probability,densenet_probability,efficientnet_probability,mean_p,std_p,min_p,max_p,diff_rd,diff_re,diff_de,p_res_f1wtd,p_dense_f1wtd,p_eff_f1wtd,f1_wtd_avg,resnet_bin_frac,densenet_bin_frac,eff_bin_frac,resnet_calib_res,densenet_calib_res,eff_calib_res,dist_resnet_to_mean,dist_dense_to_mean,dist_eff_to_mean
train,IMG0000019.jpg,Fractured,0.9199,0.9933,0.8565,0.9232333333333335,0.05589808185935857,0.8565,0.9933,0.07339999999999991,0.06340000000000001,0.13679999999999992,0.6338111,0.7191491999999999,0.5747115,0.9249864683301345,0.9888475836431226,0.9960079840319361,0.859375,-0.06894758364312259,-0.0027079840319361725,-0.002874999999999961,0.06198,0.07616,0.04057
train,IMG0000025.jpg,Fractured,0.8129,0.9412,0.1482,0.6341,0.3475527106305843,0.1482,0.9412,0.12830000000000008,0.6647,0.793,0.5600881,0.6814288000000001,0.09944220000000001,0.6434544625719771,0.845360824742268,0.9960079840319361,0.04314720812182741,-0.03246082474226808,-0.0548079840319361,0.1050527918781726,0.195822,0.224919,0.136548
train,IMG0000044.jpg,Fractured,0.9917,0.9999,0.993,0.9948666666666667,0.0035984564592181573,0.9917,0.9999,0.008199999999999985,0.0012999999999999678,0.006900000000000017,0.6832813,0.7239276,0.6663030000000001,0.9949673224568141,0.9888475836431226,0.9960079840319361,0.9453781512605042,0.0028524163568773853,0.0038920159680638777,0.04762184873949582,0.04606,0.025363,0.021712
train,IMG0000057.jpg,Fractured,0.9445,0.7185,0.6728,0.7786,0.11878336022636618,0.6728,0.9445,0.22599999999999998,0.27170000000000005,0.045700000000000074,0.6507605,0.520194,0.4514488,0.7785044625719773,0.9888475836431226,0.8181818181818182,0.5125,-0.044347583643122634,-0.0996818181818182,0.1603,0.106945,0.121266,0.023732
train,IMG0000058.jpg,Fractured,0.9659,0.2981,0.7151,0.6597,0.2754282483696979,0.2981,0.9659,0.6678,0.2508,0.417,0.6655051,0.21582439999999997,0.4798321,0.6531485604606527,0.9888475836431226,0.16,0.6304347826086957,-0.02294758364312266,0.13809999999999997,0.08466521739130428,0.110137,0.105212,0.044427
train,IMG0000059.jpg,Fractured,0.9538,0.8804,0.8315,0.8885666666666667,0.05026160451964191,0.8315,0.9538,0.07340000000000002,0.12229999999999996,0.048899999999999944,0.6571682,0.6374095999999999,0.5579365000000001,0.8889224088291748,0.9888475836431226,1.0,0.859375,-0.03504758364312266,-0.11960000000000004,-0.027874999999999983,0.126183,0.185745,0.067671
train,IMG0000092.jpg,Fractured,0.7589,0.9982,0.4912,0.7494333333333333,0.20709009848104493,0.4912,0.9982,0.23929999999999996,0.2677,0.5069999999999999,0.5228821,0.7226967999999999,0.32959520000000003,0.75584169865643,0.8,0.9960079840319361,0.24369747899159663,-0.041100000000000025,0.002192015968063843,0.2475025210084034,0.068515,0.008434,0.076208
train,IMG0000100.jpg,Fractured,0.8998,0.9997,0.4338,0.7777666666666668,0.2466168463201346,0.4338,0.9997,0.09989999999999999,0.466,0.5659000000000001,0.6199622,0.7237828,0.29107980000000006,0.7844648752399234,0.845360824742268,0.9960079840319361,0.24369747899159663,0.05443917525773201,0.0036920159680638998,0.19010252100840339,0.083047,0.090861,0.098008
train,IMG0000142.jpg,Fractured,0.8514,0.9435,0.9573,0.9174000000000001,0.04700787168124078,0.8514,0.9573,0.09209999999999996,0.1059,0.013800000000000034,0.5866146,0.683094,0.6423483000000001,0.9174937140115165,0.845360824742268,0.9960079840319361,0.9453781512605042,0.00603917525773201,-0.05250798403193613,0.011921848739495866,0.06243,0.102822,0.139229
train,IMG0000143.jpg,Fractured,0.9532,0.9986,0.8782,0.9433333333333334,0.04964576741497934,0.8782,0.9986,0.045399999999999996,0.07500000000000007,0.12040000000000006,0.6567548,0.7229864,0.5892722,0.9448240882917469,0.9888475836431226,0.9960079840319361,0.859375,-0.03564758364312259,0.00259201596806391,0.01882499999999998,0.058979,0.09948,0.155297
train,IMG0000144.jpg,Fractured,0.9091,0.9747,0.9437,0.9424999999999999,0.02679452680430588,0.9091,0.9747,0.06559999999999999,0.034599999999999964,0.031000000000000028,0.6263698999999999,0.7056827999999999,0.6332227,0.9430304222648753,0.9888475836431226,0.9960079840319361,0.9453781512605042,-0.07974758364312262,-0.021307984031936122,-0.0016781512605041904,0.052367,0.080139,0.132487
train,IMG0000151.jpg,Fractured,0.3461,0.984,0.1944,0.5081666666666667,0.3421171761578512,0.1944,0.984,0.6378999999999999,0.15170000000000003,0.7896,0.2384629,0.7124159999999999,0.13044240000000001,0.5188681861804223,0.3670886075949367,0.9960079840319361,0.04314720812182741,-0.020988607594936703,-0.012007984031936147,0.1512527918781726,0.27311,0.17054,0.133469
train,IMG0000155.jpg,Fractured,0.6765,0.9762,0.9342,0.8623,0.13249460366369642,0.6765,0.9762,0.29969999999999997,0.25770000000000004,0.041999999999999926,0.4661085,0.7067688,0.6268482000000001,0.8635918905950098,0.6231884057971014,0.9960079840319361,0.9453781512605042,0.05331159420289855,-0.019807984031936177,-0.011178151260504143,0.09827,0.086495,0.088895
train,IMG0000156.jpg,Fractured,0.9684,0.9998,0.982,0.9833999999999999,0.012857164021146596,0.9684,0.9998,0.031399999999999983,0.013599999999999945,0.017800000000000038,0.6672275999999999,0.7238552,0.658922,0.9836875239923226,0.9888475836431226,0.9960079840319361,0.9453781512605042,-0.020447583643122602,0.0037920159680638887,0.03662184873949581,0.079043,0.074143,0.02722
train,IMG0000188.jpg,Fractured,0.5489,0.991,0.8641,0.8013333333333333,0.1858634684086383,0.5489,0.991,0.44209999999999994,0.3151999999999999,0.1269,0.37819210000000003,0.717484,0.5798111,0.8039765834932823,0.5901639344262295,0.9960079840319361,0.859375,-0.04126393442622944,-0.005007984031936141,0.004724999999999979,0.050656,0.015088,0.058574
train,IMG0000189.jpg,Fractured,0.9592,0.9882,0.9238,0.9570666666666666,0.026334430356896324,0.9238,0.9882,0.028999999999999915,0.0354000000000001,0.06440000000000001,0.6608887999999999,0.7154568,0.6198698,0.9578768714011519,0.9888475836431226,0.9960079840319361,0.9453781512605042,-0.029647583643122588,-0.007807984031936166,-0.02157815126050422,0.219644,0.086661,0.155372
train,IMG0000190.jpg,Fractured,0.8253,0.9795,0.3227,0.7091666666666668,0.28043035182059417,0.3227,0.9795,0.1542,0.5026,0.6568,0.5686317,0.709158,0.2165317,0.7170448176583495,0.845360824742268,0.9960079840319361,0.19463087248322147,-0.020060824742268002,-0.016507984031936096,0.1280691275167785,0.049911,0.027653,0.023899
train,IMG0000206.jpg,Fractured,0.4456,0.9997,0.2847,0.5766666666666667,0.30625708517881217,0.2847,0.9997,0.5541,0.1609,0.7150000000000001,0.30701839999999997,0.7237828,0.19103370000000003,0.5862931381957774,0.273972602739726,0.9960079840319361,0.0967741935483871,0.17162739726027398,0.0036920159680638998,0.18792580645161291,0.168605,0.114855,0.212343
train,IMG0000207.jpg,Fractured,0.3899,0.998,0.4537,0.6138666666666667,0.27286922793813806,0.3899,0.998,0.6081,0.06379999999999997,0.5443,0.2686411,0.722552,0.3044327,0.6217014395393475,0.3670886075949367,0.9960079840319361,0.24369747899159663,0.022811392405063302,0.001992015968063865,0.21000252100840336,0.025072,0.116945,0.135437
train,IMG0000261.jpg,Fractured,0.9998,0.9997,0.9997,0.9997333333333334,4.7140452079097985e-05,0.9997,0.9998,9.999999999998899e-05,9.999999999998899e-05,0.0,0.6888622,0.7237828,0.6707987000000001,0.9997330614203457,0.9888475836431226,0.9960079840319361,0.9453781512605042,0.010952416356877381,0.0036920159680638998,0.05432184873949586,0.050733,0.063091,0.086748
train,IMG0000284.jpg,Fractured,0.5719,0.9533,0.8049,0.7767,0.15697753554781868,0.5719,0.9533,0.3814000000000001,0.23299999999999998,0.1484000000000001,0.3940390999999999,0.6901892000000001,0.5400879,0.7794223608445299,0.5901639344262295,0.9960079840319361,0.859375,-0.018263934426229533,-0.0427079840319361,-0.05447500000000005,0.189711,0.156318,0.110816
train,IMG0000307.jpg,Fractured,0.8347,0.9949,0.8254,0.8850000000000001,0.077803727417136,0.8254,0.9949,0.1602,0.009299999999999975,0.16949999999999998,0.5751082999999999,0.7203075999999999,0.5538434000000001,0.8873605086372363,0.845360824742268,0.9960079840319361,0.859375,-0.010660824742268038,-0.0011079840319361267,-0.03397499999999998,0.051791,0.062552,0.053215
train,IMG0000319.jpg,Fractured,0.7512,0.9991,0.4521,0.7341333333333333,0.2236376583275326,0.4521,0.9991,0.2479,0.2991,0.5469999999999999,0.5175768,0.7233484,0.3033591,0.7410193378119003,0.8,0.9960079840319361,0.24369747899159663,-0.048800000000000066,0.003092015968063855,0.20840252100840337,0.038014,0.055559,0.068646
train,IMG0000351.jpg,Fractured,0.5867,0.8716,0.8376,0.7653,0.12704978027004482,0.5867,0.8716,0.28490000000000004,0.2509,0.03400000000000003,0.4042363,0.6310384,0.5620296,0.7664607965451057,0.5901639344262295,1.0,0.859375,-0.003463934426229498,-0.12839999999999996,-0.02177499999999999,0.066904,0.045721,0.05165
train,IMG0000352.jpg,Fractured,0.9032,0.9999,0.7353,0.8794666666666666,0.1093183221402321,0.7353,0.9999,0.09670000000000001,0.16790000000000005,0.26460000000000006,0.6223048,0.7239276,0.4933863,0.8827345009596931,0.9888475836431226,0.9960079840319361,0.6304347826086957,-0.08564758364312264,0.0038920159680638777,0.10486521739130428,0.035134,0.028932,0.028998
train,IMG0000443.jpg,Fractured,0.971,0.999,0.9463,0.9721000000000001,0.021528740480266515,0.9463,0.999,0.028000000000000025,0.024699999999999944,0.05269999999999997,0.6690189999999999,0.723276,0.6349673,0.9727746161228408,0.9888475836431226,0.9960079840319361,0.9453781512605042,-0.017847583643122666,0.002992015968063866,0.0009218487394958563,0.041069,0.099734,0.074273
train,IMG0000453.jpg,Fractured,0.9987,0.9988,0.997,0.9981666666666666,0.0008259674462242713,0.997,0.9988,9.999999999998899e-05,0.0017000000000000348,0.0018000000000000238,0.6881043,0.7231312,0.668987,0.9981873800383879,0.9888475836431226,0.9960079840319361,0.9453781512605042,0.009852416356877391,0.002792015968063888,0.051621848739495824,0.077132,0.044586,0.048855
train,IMG0000454.jpg,Fractured,0.9929,0.9992,0.9741,0.9887333333333332,0.010662186559154853,0.9741,0.9992,0.006299999999999972,0.01880000000000004,0.02510000000000001,0.6841081,0.7234208,0.6536211000000001,0.9890355086372363,0.9888475836431226,0.9960079840319361,0.9453781512605042,0.004052416356877364,0.003192015968063844,0.028721848739495792,0.041311,0.050682,0.059908
train,IMG0000455.jpg,Fractured,0.9972,0.9949,0.9899,0.9940000000000001,0.003047403266170497,0.9899,0.9972,0.0022999999999999687,0.007299999999999973,0.0050000000000000044,0.6870708,0.7203075999999999,0.6642229000000001,0.9940505278310942,0.9888475836431226,0.9960079840319361,0.9453781512605042,0.008352416356877335,-0.0011079840319361267,0.04452184873949583,0.065747,0.015944,0.050206
train,IMG0000456.jpg,Fractured,0.9999,0.9997,0.9981,0.9992333333333333,0.0008055363982396535,0.9981,0.9999,0.00019999999999997797,0.0018000000000000238,0.0016000000000000458,0.6889310999999999,0.7237828,0.6697251000000001,0.9992509596928985,0.9888475836431226,0.9960079840319361,0.9453781512605042,0.01105241635687737,0.0036920159680638998,0.052721848739495814,0.019772,0.034437,0.02629
train,IMG0000466.jpg,Fractured,0.8291,0.9983,0.918,0.9151333333333334,0.06910534631190911,0.8291,0.9983,0.16920000000000002,0.08890000000000009,0.08029999999999993,0.5712498999999999,0.7227692,0.615978,0.9165053262955856,0.845360824742268,0.9960079840319361,0.9453781512605042,-0.016260824742268087,0.002292015968063832,-0.027378151260504136,0.090781,0.043708,0.058928
train,IMG0000467.jpg,Fractured,0.9727,0.9951,0.9681,0.9786333333333334,0.011794160513670411,0.9681,0.9951,0.022399999999999975,0.0046000000000000485,0.027000000000000024,0.6701902999999999,0.7204524,0.6495951,0.9790008637236086,0.9888475836431226,0.9960079840319361,0.9453781512605042,-0.01614758364312263,-0.0009079840319361487,0.022721848739495787,0.051907,0.07605,0.033804
train,IMG0000468.jpg,Fractured,0.8323,0.9956,0.831,0.8863,0.07728859338004974,0.831,0.9956,0.1633,0.0013000000000000789,0.16460000000000008,0.5734547,0.7208144,0.557601,0.8886132917466412,0.845360824742268,0.9960079840319361,0.859375,-0.013060824742267996,-0.0004079840319360928,-0.02837500000000004,0.118143,0.114707,0.051132
train,IMG0000470.jpg,Fractured,0.9729,0.9917,0.9776,0.9807333333333332,0.00798846390462871,0.9729,0.9917,0.01880000000000004,0.0047000000000000375,0.014100000000000001,0.6703281,0.7179908,0.6559696,0.9809445777351249,0.9888475836431226,0.9960079840319361,0.9453781512605042,-0.015947583643122654,-0.004307984031936107,0.03222184873949585,0.038755,0.061208,0.02248
train,IMG0000471.jpg,Fractured,0.9508,0.9998,0.1597,0.7034333333333334,0.3849975786359644,0.1597,0.9998,0.049000000000000044,0.7910999999999999,0.8401000000000001,0.6551011999999999,0.7238552,0.10715870000000001,0.7131070537428024,0.9888475836431226,0.9960079840319361,0.04314720812182741,-0.03804758364312266,0.0037920159680638887,0.1165527918781726,0.031606,0.07991,0.099567
train,IMG0000472.jpg,Fractured,0.9894,0.98,0.406,0.7918,0.2728287863599929,0.406,0.9894,0.009399999999999964,0.5833999999999999,0.574,0.6816965999999999,0.7095199999999999,0.27242600000000006,0.7982929942418427,0.9888475836431226,0.9960079840319361,0.24369747899159663,0.0005524163568773055,-0.01600798403193615,0.1623025210084034,0.093724,0.097827,0.100788
train,IMG0000479.jpg,Fractured,0.8426,0.9946,0.475,0.7707333333333334,0.21812787279228874,0.475,0.9946,0.15200000000000002,0.36760000000000004,0.5196000000000001,0.5805513999999999,0.7200904,0.318725,0.7770474088291748,0.845360824742268,0.9960079840319361,0.24369747899159663,-0.00276082474226802,-0.0014079840319360937,0.23130252100840334,0.050274,0.163634,0.113375
